CODIGO,MARCA,SERIE,MODELO,NUMERO_PARTE,DESCRIPCION_ESPANOL,CANTIDAD
87000,DFSK,SERIE GLORY,G600 / GE5,4133210-ST01,STOP INFERIOR IZO,5
87001,DFSK,SERIE GLORY,G600 / GE5,4133220-ST01,STOP INFERIOR DER,20
88746,DFSK,SERIE GLORY,GIX5,1012200F0000,FILTRO ACEITE,1
88747,DFSK,SERIE GLORY,GIX5,1109100-SF01,CUERPO FILTRO AIRE,3
88750,DFSK,SERIE GLORY,GIX5,3707200F0000A,BUJIAS,0
88751,DFSK,SERIE GLORY,GIX5,1109100-SF02,FILTRO AIRE,3
88752,DFSK,SERIE GLORY,GIX5,3614100F0000A,FLAUTA+ NYECTORES,2
88753,DFSK,SERIE GLORY,G560 / G580,5500610-SA01,DECORADOR INFERIOR IZO,1
88877,DFSK,SERIE GLORY,G560,S/N,CAJA CYT PARA MOTOR SFG18,0
88879,DFSK,SERIE GLORY,G560,1901110-FK02,RADIADOR,2
88880,DFSK,SERIE GLORY,G560,2803011-FK01-X,PARACHOQUES DELANTERO,2
88883,DFSK,SERIE GLORY,G560 / G500,3502500-FB01,PASTILLAS FRENOS TRASERA,1
88885,DFSK,SERIE GLORY,G560,4133010-FK01,LAMPARA PUERTA TRASERA IZO,3
88887,DFSK,SERIE GLORY,G560,5105100-FK01,CONDENSADOR,2
88889,DFSK,SERIE GLORY,G560,5205012-ST02,PARABRISAS DELANTERO,3
88990,DFSK,SERIE GLORY,G560,3811020-C1402-A000002,CONJ ROTULA+TERMINAL IZO,0
88991,DFSK,SERIE GLORY,G560,2904200-FK01,AMORTIGUADOR/BASE/ESPIRAL ARMADO DELANTERO IZO,0
88992,DFSK,SERIE GLORY,G560,2904100-FK01,AMORTIGUADOR/BASE/ESPIRAL ARMADO DELANTERO DER,0
88993,DFSK,SERIE GLORY,G560,3507200-FK05,EPD MODULO FRENO ELECTRONICO ESTACIONAMIENTO,3
88996,DFSK,SERIE GLORY,G560,1706102-PIOZRYRX,BOMBO GASOLINA,16
88997,DFSK,SERIE GLORY,G560,1117140F0000A,FILTRO GASOLINA,0
88999,DFSK,SERIE GLORY,G560,4115040-FK01,LAMPARA TRASERA IZO,1
89249,DFSK,SERIE GLORY,G330,S/N,KIT DE TIEMPO (MOTOR 1.5),2
89250,DFSK,SERIE GLORY,G500,374510001800-13308,COMPRESOR,0
89255,DFSK,SERIE GLORY,G330,2804010-FA01-X,PARACHOQUE TRASERO,2
89261,DFSK,SERIE GLORY,G330,3900000-CA01,KIT DE HERRAMIENTAS VEHICULO,2
89268,DFSK,SERIE GLORY,G330,5403501-FA01,VIDRIO PARAL TRASERO IZO,1
89269,DFSK,SERIE GLORY,G330,5403501-FA01,VIDRIO PARAL TRASERO DER,1
